,CCAA,Dosis Completa TOTAL,Dosis Completa INE,Dosis Completa % Total
0,Andalucía,1324848,7062213,0.18759672074461645
1,Aragón,270668,1132764,0.23894474047550945
2,Asturias,248389,901209,0.27561753156038166
3,Baleares,141426,986279,0.14339350224429395
4,Canarias,283662,1871033,0.1516071603226667
5,Cantabria,110435,501384,0.2202603194358017
6,Castilla y Leon,567430,2092873,0.27112490820035423
8,Cataluña,1135792,6531658,0.17389030472814102
9,C. Valenciana,776451,4269305,0.18186824319180755
10,Extremadura,216051,911213,0.23710263132769177
11,Galicia,603245,2362643,0.255326344267839
12,La Rioja,61926,270788,0.22868812502769695
13,Madrid,1018574,5695623,0.17883451906841447
14,Murcia,214026,1237479,0.17295323799434173
15,Navarra,121398,552935,0.2195520269109389
16,País Vasco,382394,1898123,0.20145902030584953
17,Ceuta,8631,66158,0.1304604129508147
18,Melilla,7713,66178,0.1165493064160295
20,Totales,7865313,40129822,0.19599670788472473
