,CCAA Una Dosis,16-17 Vacunados,18-24 Vacunados,25-49 Vacunados,50-59 Vacunados,60-69 Vacunados,70-79 Vacunados,80+ Vacunados,16-17 INE,18-24 INE,25-49 INE,50-59 INE,60-69 INE,70-79 INE,80+ INE,16-17 %,18-24 %,25-49 %,50-59 %,60-69 %,70-79 %,80+ %
0,Andalucía,479,35248,371210,541102,793166,634625,428802,181921,625846,3009381,1265021,916147,650381,413516,0.0026330110322612564,0.05632056448391457,0.12335094825148428,0.4277415157534934,0.8657628088068836,0.9757742000458193,1.0
1,Aragón,54,6492,59129,74695,138052,115822,100128,25106,89180,446083,198266,156367,118955,98807,0.0021508802676651,0.0727965911639381,0.1325515655158345,0.3767413474826748,0.8828717056667967,0.9736623092766172,1.0
2,Asturias,41,4488,44321,66311,132571,111644,87885,15563,54179,322095,162645,149652,109249,87826,0.002634453511533766,0.08283652337621587,0.13760226020273522,0.4077038949860125,0.885861866196242,1.0,1.0
3,Baleares,41,4207,48266,66952,92250,75134,50094,23300,85839,464054,165797,117231,80516,49542,0.001759656652360515,0.04901035659781684,0.1040094471764062,0.403819128211005,0.7869078997875989,0.9331561428784341,1.0
4,Canarias,69,7258,88213,101590,186698,142687,89755,44352,163899,832411,350512,235092,154531,90236,0.0015557359307359307,0.04428336963617838,0.1059728907955325,0.28983315835121193,0.7941486737107175,0.9233551843966583,0.9946695332239904
5,Cantabria,8,1766,25023,27001,66150,54988,41899,10791,34935,194241,89964,77345,53066,41042,0.0007413585395236772,0.05055102332903964,0.128824501521306,0.30013116357654174,0.8552589049065874,1.0,1.0
6,Castilla y Leon,112,8753,96770,87127,293624,245790,227544,40684,144422,738950,381175,318575,245410,223657,0.0027529249827942187,0.06060710972012574,0.13095608633872385,0.22857480160031482,0.9216793533704779,1.0,1.0
7,Cataluña,691,45430,339992,526275,684712,593872,452020,159864,556316,2803626,1091780,837584,635292,447196,0.0043224240604513835,0.08166222075223434,0.12126867135630787,0.482033926248878,0.8174845746814647,0.9348016345239669,1.0
8,C. Valenciana,172,19914,212359,217933,504404,420993,292685,103049,352834,1765967,752334,580728,437862,276531,0.0016691088705373172,0.05644013898887296,0.12025083141417704,0.2896758620506318,0.8685718615255335,0.9614741630924812,1.0
9,Extremadura,68,2729,48066,58216,123185,94626,77809,20953,76088,351778,169216,125297,91876,76005,0.0032453586598577768,0.035866365261276414,0.13663731103138912,0.3440336611195159,0.9831440497378229,1.0,1.0
10,Galicia,43,6049,102071,168602,317184,282997,238857,44014,152745,889004,405889,346927,289762,234302,0.0009769618757668015,0.03960195096402501,0.11481500645666386,0.4153894291296389,0.9142672666007546,0.9766532533596538,1.0
11,La Rioja,10,1455,14276,12950,35135,28218,23191,6286,21170,107618,47664,37718,28125,22207,0.001590836780146357,0.0687293339631554,0.13265438867104015,0.2716935213158778,0.9315181080651148,1.0,1.0
12,Madrid,404,30800,315254,357905,607888,488345,367556,135861,479716,2513737,972783,703323,526081,364122,0.002973627457474919,0.06420465442053215,0.12541248348574255,0.3679186416703417,0.8643084329674986,0.9282696010690369,1.0
13,Murcia,131,7340,62512,66704,122706,97257,72729,34712,118667,551265,213256,146909,102899,69771,0.003773911039410002,0.061853758837756075,0.11339736787207605,0.3127883857898488,0.8352517544874718,0.9451695351752689,1.0
14,Navarra,9,3637,29808,40289,66721,55078,42196,13906,48505,223028,96694,73844,55792,41166,0.0006472026463397094,0.07498196062261622,0.13365138009577274,0.4166649430161127,0.9035398949136016,0.9872024663034127,1.0
15,País Vasco,33,12654,98930,109987,258270,208026,161178,41824,140323,724849,339977,280119,213081,157950,0.0007890206579954093,0.090177661538023,0.13648359865296084,0.3235130611776679,0.9220010067150033,0.9762766271981078,1.0
16,Ceuta,7,400,4566,8399,6003,3681,2325,2175,7581,30066,11556,7857,4318,2605,0.003218390804597701,0.052763487666534756,0.15186589503093195,0.7268085842852198,0.7640320733104238,0.8524779990736452,0.8925143953934741
17,Melilla,6,298,4420,7135,5582,3027,1886,2324,8536,30095,11299,7827,3748,2349,0.0025817555938037868,0.03491096532333646,0.1468682505399568,0.6314718116647491,0.7131723521144755,0.8076307363927427,0.8028948488718604
18,Totales,2487,213249,2099708,2691663,4634243,3811243,2895090,949049,3310299,16706113,7033306,5336986,3960045,2834024,0.0026205180132954147,0.06441986056244466,0.12568501122912312,0.38270238775335524,0.8683258678212759,0.9624241643718695,1.0
